dteday,hr,weekday,mnth,yr,season,cnt
2011-01-01,0,Saturday,1,2011,Spring,16
2011-01-01,1,Saturday,1,2011,Spring,40
2011-01-01,2,Saturday,1,2011,Spring,32
2011-01-01,3,Saturday,1,2011,Spring,13
2011-01-01,4,Saturday,1,2011,Spring,1
2011-01-01,5,Saturday,1,2011,Spring,1
2011-01-01,6,Saturday,1,2011,Spring,2
2011-01-01,7,Saturday,1,2011,Spring,3
2011-01-01,8,Saturday,1,2011,Spring,8
2011-01-01,9,Saturday,1,2011,Spring,14
2011-01-01,10,Saturday,1,2011,Spring,36
2011-01-01,11,Saturday,1,2011,Spring,56
2011-01-01,12,Saturday,1,2011,Spring,84
2011-01-01,13,Saturday,1,2011,Spring,94
2011-01-01,14,Saturday,1,2011,Spring,106
2011-01-01,15,Saturday,1,2011,Spring,110
2011-01-01,16,Saturday,1,2011,Spring,93
2011-01-01,17,Saturday,1,2011,Spring,67
2011-01-01,18,Saturday,1,2011,Spring,35
2011-01-01,19,Saturday,1,2011,Spring,37
2011-01-01,20,Saturday,1,2011,Spring,36
2011-01-01,21,Saturday,1,2011,Spring,34
2011-01-01,22,Saturday,1,2011,Spring,28
2011-01-01,23,Saturday,1,2011,Spring,39
2011-01-02,0,Sunday,1,2011,Spring,17
2011-01-02,1,Sunday,1,2011,Spring,17
2011-01-02,2,Sunday,1,2011,Spring,9
2011-01-02,3,Sunday,1,2011,Spring,6
2011-01-02,4,Sunday,1,2011,Spring,3
2011-01-02,6,Sunday,1,2011,Spring,2
2011-01-02,7,Sunday,1,2011,Spring,1
2011-01-02,8,Sunday,1,2011,Spring,8
2011-01-02,9,Sunday,1,2011,Spring,20
2011-01-02,10,Sunday,1,2011,Spring,53
2011-01-02,11,Sunday,1,2011,Spring,70
2011-01-02,12,Sunday,1,2011,Spring,93
2011-01-02,13,Sunday,1,2011,Spring,75
2011-01-02,14,Sunday,1,2011,Spring,59
2011-01-02,15,Sunday,1,2011,Spring,74
2011-01-02,16,Sunday,1,2011,Spring,76
2011-01-02,17,Sunday,1,2011,Spring,65
2011-01-02,18,Sunday,1,2011,Spring,53
2011-01-02,19,Sunday,1,2011,Spring,30
2011-01-02,20,Sunday,1,2011,Spring,22
2011-01-02,21,Sunday,1,2011,Spring,31
2011-01-02,22,Sunday,1,2011,Spring,9
2011-01-02,23,Sunday,1,2011,Spring,8
2011-01-03,0,Monday,1,2011,Spring,5
2011-01-03,1,Monday,1,2011,Spring,2
2011-01-03,4,Monday,1,2011,Spring,1
2011-01-03,5,Monday,1,2011,Spring,3
2011-01-03,6,Monday,1,2011,Spring,30
2011-01-03,7,Monday,1,2011,Spring,64
2011-01-03,8,Monday,1,2011,Spring,154
2011-01-03,9,Monday,1,2011,Spring,88
2011-01-03,10,Monday,1,2011,Spring,44
2011-01-03,11,Monday,1,2011,Spring,51
2011-01-03,12,Monday,1,2011,Spring,61
2011-01-03,13,Monday,1,2011,Spring,61
2011-01-03,14,Monday,1,2011,Spring,77
2011-01-03,15,Monday,1,2011,Spring,72
2011-01-03,16,Monday,1,2011,Spring,76
2011-01-03,17,Monday,1,2011,Spring,157
2011-01-03,18,Monday,1,2011,Spring,157
2011-01-03,19,Monday,1,2011,Spring,110
2011-01-03,20,Monday,1,2011,Spring,52
2011-01-03,21,Monday,1,2011,Spring,52
2011-01-03,22,Monday,1,2011,Spring,20
2011-01-03,23,Monday,1,2011,Spring,12
2011-01-04,0,Tuesday,1,2011,Spring,5
2011-01-04,1,Tuesday,1,2011,Spring,2
2011-01-04,2,Tuesday,1,2011,Spring,1
2011-01-04,4,Tuesday,1,2011,Spring,2
2011-01-04,5,Tuesday,1,2011,Spring,4
2011-01-04,6,Tuesday,1,2011,Spring,36
2011-01-04,7,Tuesday,1,2011,Spring,94
2011-01-04,8,Tuesday,1,2011,Spring,179
2011-01-04,9,Tuesday,1,2011,Spring,100
2011-01-04,10,Tuesday,1,2011,Spring,42
2011-01-04,11,Tuesday,1,2011,Spring,57
2011-01-04,12,Tuesday,1,2011,Spring,78
2011-01-04,13,Tuesday,1,2011,Spring,97
2011-01-04,14,Tuesday,1,2011,Spring,63
2011-01-04,15,Tuesday,1,2011,Spring,65
2011-01-04,16,Tuesday,1,2011,Spring,83
2011-01-04,17,Tuesday,1,2011,Spring,212
2011-01-04,18,Tuesday,1,2011,Spring,182
2011-01-04,19,Tuesday,1,2011,Spring,112
2011-01-04,20,Tuesday,1,2011,Spring,54
2011-01-04,21,Tuesday,1,2011,Spring,48
2011-01-04,22,Tuesday,1,2011,Spring,35
2011-01-04,23,Tuesday,1,2011,Spring,11
2011-01-05,0,Wednesday,1,2011,Spring,6
2011-01-05,1,Wednesday,1,2011,Spring,6
2011-01-05,2,Wednesday,1,2011,Spring,2
2011-01-05,4,Wednesday,1,2011,Spring,2
2011-01-05,5,Wednesday,1,2011,Spring,3
2011-01-05,6,Wednesday,1,2011,Spring,33
2011-01-05,7,Wednesday,1,2011,Spring,88
2011-01-05,8,Wednesday,1,2011,Spring,195
2011-01-05,9,Wednesday,1,2011,Spring,115
2011-01-05,10,Wednesday,1,2011,Spring,57
2011-01-05,11,Wednesday,1,2011,Spring,46
2011-01-05,12,Wednesday,1,2011,Spring,79
2011-01-05,13,Wednesday,1,2011,Spring,71
2011-01-05,14,Wednesday,1,2011,Spring,62
2011-01-05,15,Wednesday,1,2011,Spring,62
2011-01-05,16,Wednesday,1,2011,Spring,89
2011-01-05,17,Wednesday,1,2011,Spring,190
2011-01-05,18,Wednesday,1,2011,Spring,169
2011-01-05,19,Wednesday,1,2011,Spring,132
2011-01-05,20,Wednesday,1,2011,Spring,89
2011-01-05,21,Wednesday,1,2011,Spring,43
2011-01-05,22,Wednesday,1,2011,Spring,42
2011-01-05,23,Wednesday,1,2011,Spring,19
2011-01-06,0,Thursday,1,2011,Spring,11
2011-01-06,1,Thursday,1,2011,Spring,4
2011-01-06,2,Thursday,1,2011,Spring,2
2011-01-06,4,Thursday,1,2011,Spring,1
2011-01-06,5,Thursday,1,2011,Spring,4
2011-01-06,6,Thursday,1,2011,Spring,36
2011-01-06,7,Thursday,1,2011,Spring,95
2011-01-06,8,Thursday,1,2011,Spring,219
2011-01-06,9,Thursday,1,2011,Spring,122
2011-01-06,10,Thursday,1,2011,Spring,45
2011-01-06,11,Thursday,1,2011,Spring,59
